t,y1(t) = t/1000 = y1(t-1)+0.001,y2(t)=y2(t-1)*0.999,y3(t)=y1(t)+y2(t),y4(t) = y4(t-1)-0.001,y5(t)=y1(t)*t%2+y4(t)*(1-t%2)
478,"0,478","0,6198739305","1,097873931","0,522","0,522"
479,"0,479","0,6192540566","1,098254057","0,521","0,479"
480,"0,48","0,6186348026","1,098634803","0,52","0,52"
481,"0,481","0,6180161678","1,099016168","0,519","0,481"
482,"0,482","0,6173981516","1,099398152","0,518","0,518"
483,"0,483","0,6167807534","1,099780753","0,517","0,483"
484,"0,484","0,6161639727","1,100163973","0,516","0,516"
485,"0,485","0,6155478087","1,100547809","0,515","0,485"
486,"0,486","0,6149322609","1,100932261","0,514","0,514"
487,"0,487","0,6143173286","1,101317329","0,513","0,487"
488,"0,488","0,6137030113","1,101703011","0,512","0,512"
489,"0,489","0,6130893083","1,102089308","0,511","0,489"
490,"0,49","0,612476219","1,102476219","0,51","0,51"
491,"0,491","0,6118637428","1,102863743","0,509","0,491"
492,"0,492","0,611251879","1,103251879","0,508","0,508"
493,"0,493","0,6106406271","1,103640627","0,507","0,493"
494,"0,494","0,6100299865","1,104029987","0,506","0,506"
495,"0,495","0,6094199565","1,104419957","0,505","0,495"
496,"0,496","0,6088105366","1,104810537","0,504","0,504"
497,"0,497","0,608201726","1,105201726","0,503","0,497"
498,"0,498","0,6075935243","1,105593524","0,502","0,502"
499,"0,499","0,6069859308","1,105985931","0,501","0,499"
500,"0,5","0,6063789449","1,106378945","0,5","0,5"
501,"0,501","0,6057725659","1,106772566","0,499","0,501"
502,"0,502","0,6051667934","1,107166793","0,498","0,498"
503,"0,503","0,6045616266","1,107561627","0,497","0,503"
504,"0,504","0,6039570649","1,107957065","0,496","0,496"
505,"0,505","0,6033531079","1,108353108","0,495","0,505"
506,"0,506","0,6027497548","1,108749755","0,494","0,494"
507,"0,507","0,602147005","1,109147005","0,493","0,507"
508,"0,508","0,601544858","1,109544858","0,492","0,492"
509,"0,509","0,6009433131","1,109943313","0,491","0,509"
510,"0,51","0,6003423698","1,11034237","0,49","0,49"
511,"0,511","0,5997420275","1,110742027","0,489","0,511"
512,"0,512","0,5991422854","1,111142285","0,488","0,488"
513,"0,513","0,5985431431","1,111543143","0,487","0,513"
514,"0,514","0,5979446","1,1119446","0,486","0,486"
515,"0,515","0,5973466554","1,112346655","0,485","0,515"
516,"0,516","0,5967493087","1,112749309","0,484","0,484"
517,"0,517","0,5961525594","1,113152559","0,483","0,517"
518,"0,518","0,5955564069","1,113556407","0,482","0,482"
519,"0,519","0,5949608505","1,11396085","0,481","0,519"
520,"0,52","0,5943658896","1,11436589","0,48","0,48"
521,"0,521","0,5937715237","1,114771524","0,479","0,521"
522,"0,522","0,5931777522","1,115177752","0,478","0,478"
523,"0,523","0,5925845745","1,115584574","0,477","0,523"
524,"0,524","0,5919919899","1,11599199","0,476","0,476"
525,"0,525","0,5913999979","1,116399998","0,475","0,525"
526,"0,526","0,5908085979","1,116808598","0,474","0,474"
527,"0,527","0,5902177893","1,117217789","0,473","0,527"
528,"0,528","0,5896275715","1,117627572","0,472","0,472"
529,"0,529","0,5890379439","1,118037944","0,471","0,529"
530,"0,53","0,588448906","1,118448906","0,47","0,47"
531,"0,531","0,5878604571","1,118860457","0,469","0,531"
532,"0,532","0,5872725966","1,119272597","0,468","0,468"
533,"0,533","0,586685324","1,119685324","0,467","0,533"
534,"0,534","0,5860986387","1,120098639","0,466","0,466"
535,"0,535","0,5855125401","1,12051254","0,465","0,535"
536,"0,536","0,5849270275","1,120927028","0,464","0,464"
537,"0,537","0,5843421005","1,1213421","0,463","0,537"
538,"0,538","0,5837577584","1,121757758","0,462","0,462"
539,"0,539","0,5831740006","1,122174001","0,461","0,539"
540,"0,54","0,5825908266","1,122590827","0,46","0,46"
541,"0,541","0,5820082358","1,123008236","0,459","0,541"
542,"0,542","0,5814262276","1,123426228","0,458","0,458"
543,"0,543","0,5808448014","1,123844801","0,457","0,543"
544,"0,544","0,5802639565","1,124263957","0,456","0,456"
545,"0,545","0,5796836926","1,124683693","0,455","0,545"
546,"0,546","0,5791040089","1,125104009","0,454","0,454"
547,"0,547","0,5785249049","1,125524905","0,453","0,547"
548,"0,548","0,57794638","1,12594638","0,452","0,452"
549,"0,549","0,5773684336","1,126368434","0,451","0,549"
550,"0,55","0,5767910652","1,126791065","0,45","0,45"
551,"0,551","0,5762142741","1,127214274","0,449","0,551"
552,"0,552","0,5756380598","1,12763806","0,448","0,448"
553,"0,553","0,5750624218","1,128062422","0,447","0,553"
554,"0,554","0,5744873594","1,128487359","0,446","0,446"
555,"0,555","0,573912872","1,128912872","0,445","0,555"
556,"0,556","0,5733389591","1,129338959","0,444","0,444"
557,"0,557","0,5727656202","1,12976562","0,443","0,557"
558,"0,558","0,5721928545","1,130192855","0,442","0,442"
559,"0,559","0,5716206617","1,130620662","0,441","0,559"
560,"0,56","0,571049041","1,131049041","0,44","0,44"
561,"0,561","0,570477992","1,131477992","0,439","0,561"
562,"0,562","0,569907514","1,131907514","0,438","0,438"
563,"0,563","0,5693376065","1,132337606","0,437","0,563"
564,"0,564","0,5687682689","1,132768269","0,436","0,436"
565,"0,565","0,5681995006","1,133199501","0,435","0,565"
566,"0,566","0,5676313011","1,133631301","0,434","0,434"
567,"0,567","0,5670636698","1,13406367","0,433","0,567"
568,"0,568","0,5664966061","1,134496606","0,432","0,432"
569,"0,569","0,5659301095","1,13493011","0,431","0,569"
570,"0,57","0,5653641794","1,135364179","0,43","0,43"
571,"0,571","0,5647988152","1,135798815","0,429","0,571"
572,"0,572","0,5642340164","1,136234016","0,428","0,428"
573,"0,573","0,5636697824","1,136669782","0,427","0,573"
574,"0,574","0,5631061126","1,137106113","0,426","0,426"
575,"0,575","0,5625430065","1,137543007","0,425","0,575"
576,"0,576","0,5619804635","1,137980464","0,424","0,424"
577,"0,577","0,561418483","1,138418483","0,423","0,577"
578,"0,578","0,5608570646","1,138857065","0,422","0,422"
579,"0,579","0,5602962075","1,139296207","0,421","0,579"
580,"0,58","0,5597359113","1,139735911","0,42","0,42"
581,"0,581","0,5591761754","1,140176175","0,419","0,581"
582,"0,582","0,5586169992","1,140616999","0,418","0,418"
583,"0,583","0,5580583822","1,141058382","0,417","0,583"
584,"0,584","0,5575003238","1,141500324","0,416","0,416"
585,"0,585","0,5569428235","1,141942823","0,415","0,585"
586,"0,586","0,5563858807","1,142385881","0,414","0,414"
587,"0,587","0,5558294948","1,142829495","0,413","0,587"
588,"0,588","0,5552736653","1,143273665","0,412","0,412"
589,"0,589","0,5547183916","1,143718392","0,411","0,589"
590,"0,59","0,5541636732","1,144163673","0,41","0,41"
591,"0,591","0,5536095096","1,14460951","0,409","0,591"
592,"0,592","0,5530559001","1,1450559","0,408","0,408"
593,"0,593","0,5525028442","1,145502844","0,407","0,593"
594,"0,594","0,5519503413","1,145950341","0,406","0,406"
595,"0,595","0,551398391","1,146398391","0,405","0,595"
596,"0,596","0,5508469926","1,146846993","0,404","0,404"
597,"0,597","0,5502961456","1,147296146","0,403","0,597"
598,"0,598","0,5497458494","1,147745849","0,402","0,402"
599,"0,599","0,5491961036","1,148196104","0,401","0,599"
600,"0,6","0,5486469075","1,148646907","0,4","0,4"
601,"0,601","0,5480982606","1,149098261","0,399","0,601"
602,"0,602","0,5475501623","1,149550162","0,398","0,398"
603,"0,603","0,5470026122","1,150002612","0,397","0,603"
604,"0,604","0,5464556095","1,15045561","0,396","0,396"
605,"0,605","0,5459091539","1,150909154","0,395","0,605"
606,"0,606","0,5453632448","1,151363245","0,394","0,394"
607,"0,607","0,5448178815","1,151817882","0,393","0,607"
608,"0,608","0,5442730637","1,152273064","0,392","0,392"
609,"0,609","0,5437287906","1,152728791","0,391","0,609"
610,"0,61","0,5431850618","1,153185062","0,39","0,39"
611,"0,611","0,5426418767","1,153641877","0,389","0,611"
612,"0,612","0,5420992349","1,154099235","0,388","0,388"
613,"0,613","0,5415571356","1,154557136","0,387","0,613"
614,"0,614","0,5410155785","1,155015578","0,386","0,386"
615,"0,615","0,5404745629","1,155474563","0,385","0,615"
616,"0,616","0,5399340883","1,155934088","0,384","0,384"
617,"0,617","0,5393941543","1,156394154","0,383","0,617"
618,"0,618","0,5388547601","1,15685476","0,382","0,382"
619,"0,619","0,5383159053","1,157315905","0,381","0,619"
620,"0,62","0,5377775894","1,157777589","0,38","0,38"
621,"0,621","0,5372398119","1,158239812","0,379","0,621"
622,"0,622","0,536702572","1,158702572","0,378","0,378"
623,"0,623","0,5361658695","1,159165869","0,377","0,623"
624,"0,624","0,5356297036","1,159629704","0,376","0,376"
625,"0,625","0,5350940739","1,160094074","0,375","0,625"
626,"0,626","0,5345589798","1,16055898","0,374","0,374"
627,"0,627","0,5340244208","1,161024421","0,373","0,627"
628,"0,628","0,5334903964","1,161490396","0,372","0,372"
629,"0,629","0,532956906","1,161956906","0,371","0,629"
630,"0,63","0,5324239491","1,162423949","0,37","0,37"
631,"0,631","0,5318915252","1,162891525","0,369","0,631"
632,"0,632","0,5313596336","1,163359634","0,368","0,368"
633,"0,633","0,530828274","1,163828274","0,367","0,633"
634,"0,634","0,5302974457","1,164297446","0,366","0,366"
635,"0,635","0,5297671483","1,164767148","0,365","0,635"
636,"0,636","0,5292373811","1,165237381","0,364","0,364"
637,"0,637","0,5287081438","1,165708144","0,363","0,637"
638,"0,638","0,5281794356","1,166179436","0,362","0,362"
639,"0,639","0,5276512562","1,166651256","0,361","0,639"
640,"0,64","0,5271236049","1,167123605","0,36","0,36"
641,"0,641","0,5265964813","1,167596481","0,359","0,641"
642,"0,642","0,5260698848","1,168069885","0,358","0,358"
643,"0,643","0,525543815","1,168543815","0,357","0,643"
644,"0,644","0,5250182711","1,169018271","0,356","0,356"
645,"0,645","0,5244932529","1,169493253","0,355","0,645"
646,"0,646","0,5239687596","1,16996876","0,354","0,354"
647,"0,647","0,5234447909","1,170444791","0,353","0,647"
648,"0,648","0,5229213461","1,170921346","0,352","0,352"
649,"0,649","0,5223984247","1,171398425","0,351","0,649"
650,"0,65","0,5218760263","1,171876026","0,35","0,35"
651,"0,651","0,5213541503","1,17235415","0,349","0,651"
652,"0,652","0,5208327961","1,172832796","0,348","0,348"
653,"0,653","0,5203119633","1,173311963","0,347","0,653"
654,"0,654","0,5197916514","1,173791651","0,346","0,346"
655,"0,655","0,5192718597","1,17427186","0,345","0,655"
656,"0,656","0,5187525878","1,174752588","0,344","0,344"
657,"0,657","0,5182338353","1,175233835","0,343","0,657"
658,"0,658","0,5177156014","1,175715601","0,342","0,342"
659,"0,659","0,5171978858","1,176197886","0,341","0,659"
660,"0,66","0,5166806879","1,176680688","0,34","0,34"
661,"0,661","0,5161640072","1,177164007","0,339","0,661"
662,"0,662","0,5156478432","1,177647843","0,338","0,338"
663,"0,663","0,5151321954","1,178132195","0,337","0,663"
664,"0,664","0,5146170632","1,178617063","0,336","0,336"
665,"0,665","0,5141024461","1,179102446","0,335","0,665"
666,"0,666","0,5135883437","1,179588344","0,334","0,334"
667,"0,667","0,5130747553","1,180074755","0,333","0,667"
668,"0,668","0,5125616806","1,180561681","0,332","0,332"
669,"0,669","0,5120491189","1,181049119","0,331","0,669"
670,"0,67","0,5115370698","1,18153707","0,33","0,33"
671,"0,671","0,5110255327","1,182025533","0,329","0,671"
672,"0,672","0,5105145072","1,182514507","0,328","0,328"
673,"0,673","0,5100039927","1,183003993","0,327","0,673"
674,"0,674","0,5094939887","1,183493989","0,326","0,326"
675,"0,675","0,5089844947","1,183984495","0,325","0,675"
676,"0,676","0,5084755102","1,18447551","0,324","0,324"
677,"0,677","0,5079670347","1,184967035","0,323","0,677"
678,"0,678","0,5074590677","1,185459068","0,322","0,322"
679,"0,679","0,5069516086","1,185951609","0,321","0,679"
680,"0,68","0,506444657","1,186444657","0,32","0,32"
681,"0,681","0,5059382123","1,186938212","0,319","0,681"
682,"0,682","0,5054322741","1,187432274","0,318","0,318"
683,"0,683","0,5049268418","1,187926842","0,317","0,683"
684,"0,684","0,504421915","1,188421915","0,316","0,316"
685,"0,685","0,5039174931","1,188917493","0,315","0,685"
686,"0,686","0,5034135756","1,189413576","0,314","0,314"
687,"0,687","0,502910162","1,189910162","0,313","0,687"
688,"0,688","0,5024072519","1,190407252","0,312","0,312"
689,"0,689","0,5019048446","1,190904845","0,311","0,689"
690,"0,69","0,5014029398","1,19140294","0,31","0,31"
691,"0,691","0,5009015368","1,191901537","0,309","0,691"
692,"0,692","0,5004006353","1,192400635","0,308","0,308"
693,"0,693","0,4999002346","1,192900235","0,307","0,693"
694,"0,694","0,4994003344","1,193400334","0,306","0,306"
695,"0,695","0,4989009341","1,193900934","0,305","0,695"
696,"0,696","0,4984020331","1,194402033","0,304","0,304"
697,"0,697","0,4979036311","1,194903631","0,303","0,697"
698,"0,698","0,4974057275","1,195405727","0,302","0,302"
699,"0,699","0,4969083218","1,195908322","0,301","0,699"
700,"0,7","0,4964114134","1,196411413","0,3","0,3"
701,"0,701","0,495915002","1,196915002","0,299","0,701"
702,"0,702","0,495419087","1,197419087","0,298","0,298"
703,"0,703","0,4949236679","1,197923668","0,297","0,703"
704,"0,704","0,4944287443","1,198428744","0,296","0,296"
705,"0,705","0,4939343155","1,198934316","0,295","0,705"
706,"0,706","0,4934403812","1,199440381","0,294","0,294"
707,"0,707","0,4929469408","1,199946941","0,293","0,707"
708,"0,708","0,4924539939","1,200453994","0,292","0,292"
709,"0,709","0,4919615399","1,20096154","0,291","0,709"
710,"0,71","0,4914695783","1,201469578","0,29","0,29"
711,"0,711","0,4909781088","1,201978109","0,289","0,711"
712,"0,712","0,4904871307","1,202487131","0,288","0,288"
713,"0,713","0,4899966435","1,202996644","0,287","0,713"
714,"0,714","0,4895066469","1,203506647","0,286","0,286"
715,"0,715","0,4890171402","1,20401714","0,285","0,715"
716,"0,716","0,4885281231","1,204528123","0,284","0,284"
717,"0,717","0,488039595","1,205039595","0,283","0,717"
718,"0,718","0,4875515554","1,205551555","0,282","0,282"
719,"0,719","0,4870640038","1,206064004","0,281","0,719"
720,"0,72","0,4865769398","1,20657694","0,28","0,28"
721,"0,721","0,4860903629","1,207090363","0,279","0,721"
722,"0,722","0,4856042725","1,207604273","0,278","0,278"
723,"0,723","0,4851186682","1,208118668","0,277","0,723"
724,"0,724","0,4846335496","1,20863355","0,276","0,276"
725,"0,725","0,484148916","1,209148916","0,275","0,725"
726,"0,726","0,4836647671","1,209664767","0,274","0,274"
727,"0,727","0,4831811023","1,210181102","0,273","0,727"
728,"0,728","0,4826979212","1,210697921","0,272","0,272"
729,"0,729","0,4822152233","1,211215223","0,271","0,729"
730,"0,73","0,4817330081","1,211733008","0,27","0,27"
731,"0,731","0,4812512751","1,212251275","0,269","0,731"
732,"0,732","0,4807700238","1,212770024","0,268","0,268"
733,"0,733","0,4802892538","1,213289254","0,267","0,733"
734,"0,734","0,4798089645","1,213808965","0,266","0,266"
735,"0,735","0,4793291556","1,214329156","0,265","0,735"
736,"0,736","0,4788498264","1,214849826","0,264","0,264"
737,"0,737","0,4783709766","1,215370977","0,263","0,737"
738,"0,738","0,4778926056","1,215892606","0,262","0,262"
739,"0,739","0,477414713","1,216414713","0,261","0,739"
740,"0,74","0,4769372983","1,216937298","0,26","0,26"
741,"0,741","0,476460361","1,217460361","0,259","0,741"
742,"0,742","0,4759839006","1,217983901","0,258","0,258"
743,"0,743","0,4755079167","1,218507917","0,257","0,743"
744,"0,744","0,4750324088","1,219032409","0,256","0,256"
745,"0,745","0,4745573764","1,219557376","0,255","0,745"
746,"0,746","0,474082819","1,220082819","0,254","0,254"
747,"0,747","0,4736087362","1,220608736","0,253","0,747"
748,"0,748","0,4731351275","1,221135127","0,252","0,252"
749,"0,749","0,4726619923","1,221661992","0,251","0,749"
750,"0,75","0,4721893304","1,22218933","0,25","0,25"
751,"0,751","0,471717141","1,222717141","0,249","0,751"
752,"0,752","0,4712454239","1,223245424","0,248","0,248"
753,"0,753","0,4707741785","1,223774178","0,247","0,753"
754,"0,754","0,4703034043","1,224303404","0,246","0,246"
755,"0,755","0,4698331009","1,224833101","0,245","0,755"
756,"0,756","0,4693632678","1,225363268","0,244","0,244"
757,"0,757","0,4688939045","1,225893905","0,243","0,757"
758,"0,758","0,4684250106","1,226425011","0,242","0,242"
759,"0,759","0,4679565856","1,226956586","0,241","0,759"
760,"0,76","0,467488629","1,227488629","0,24","0,24"
761,"0,761","0,4670211404","1,22802114","0,239","0,761"
762,"0,762","0,4665541192","1,228554119","0,238","0,238"
763,"0,763","0,4660875651","1,229087565","0,237","0,763"
764,"0,764","0,4656214776","1,229621478","0,236","0,236"
765,"0,765","0,4651558561","1,230155856","0,235","0,765"
766,"0,766","0,4646907002","1,2306907","0,234","0,234"
767,"0,767","0,4642260095","1,23122601","0,233","0,767"
768,"0,768","0,4637617835","1,231761784","0,232","0,232"
769,"0,769","0,4632980217","1,232298022","0,231","0,769"
770,"0,77","0,4628347237","1,232834724","0,23","0,23"
771,"0,771","0,462371889","1,233371889","0,229","0,771"
772,"0,772","0,4619095171","1,233909517","0,228","0,228"
773,"0,773","0,4614476076","1,234447608","0,227","0,773"
774,"0,774","0,46098616","1,23498616","0,226","0,226"
775,"0,775","0,4605251738","1,235525174","0,225","0,775"
776,"0,776","0,4600646486","1,236064649","0,224","0,224"
777,"0,777","0,459604584","1,236604584","0,223","0,777"
778,"0,778","0,4591449794","1,237144979","0,222","0,222"
779,"0,779","0,4586858344","1,237685834","0,221","0,779"
780,"0,78","0,4582271486","1,238227149","0,22","0,22"
781,"0,781","0,4577689214","1,238768921","0,219","0,781"
782,"0,782","0,4573111525","1,239311153","0,218","0,218"
783,"0,783","0,4568538414","1,239853841","0,217","0,783"
784,"0,784","0,4563969875","1,240396988","0,216","0,216"
785,"0,785","0,4559405905","1,240940591","0,215","0,785"
786,"0,786","0,4554846499","1,24148465","0,214","0,214"
787,"0,787","0,4550291653","1,242029165","0,213","0,787"
788,"0,788","0,4545741361","1,242574136","0,212","0,212"
789,"0,789","0,454119562","1,243119562","0,211","0,789"
790,"0,79","0,4536654424","1,243665442","0,21","0,21"
791,"0,791","0,453211777","1,244211777","0,209","0,791"
792,"0,792","0,4527585652","1,244758565","0,208","0,208"
793,"0,793","0,4523058066","1,245305807","0,207","0,793"
794,"0,794","0,4518535008","1,245853501","0,206","0,206"
795,"0,795","0,4514016473","1,246401647","0,205","0,795"
796,"0,796","0,4509502457","1,246950246","0,204","0,204"
797,"0,797","0,4504992954","1,247499295","0,203","0,797"
798,"0,798","0,4500487962","1,248048796","0,202","0,202"
799,"0,799","0,4495987474","1,248598747","0,201","0,799"
800,"0,8","0,4491491486","1,249149149","0,2","0,2"
801,"0,801","0,4486999995","1,249699999","0,199","0,801"
802,"0,802","0,4482512995","1,250251299","0,198","0,198"
803,"0,803","0,4478030482","1,250803048","0,197","0,803"
804,"0,804","0,4473552451","1,251355245","0,196","0,196"
805,"0,805","0,4469078899","1,25190789","0,195","0,805"
806,"0,806","0,446460982","1,252460982","0,194","0,194"
807,"0,807","0,446014521","1,253014521","0,193","0,807"
808,"0,808","0,4455685065","1,253568506","0,192","0,192"
809,"0,809","0,445122938","1,254122938","0,191","0,809"
810,"0,81","0,444677815","1,254677815","0,19","0,19"
811,"0,811","0,4442331372","1,255233137","0,189","0,811"
812,"0,812","0,4437889041","1,255788904","0,188","0,188"
813,"0,813","0,4433451152","1,256345115","0,187","0,813"
814,"0,814","0,4429017701","1,25690177","0,186","0,186"
815,"0,815","0,4424588683","1,257458868","0,185","0,815"
816,"0,816","0,4420164094","1,258016409","0,184","0,184"
817,"0,817","0,441574393","1,258574393","0,183","0,817"
818,"0,818","0,4411328186","1,259132819","0,182","0,182"
819,"0,819","0,4406916858","1,259691686","0,181","0,819"
820,"0,82","0,4402509941","1,260250994","0,18","0,18"
821,"0,821","0,4398107431","1,260810743","0,179","0,821"
822,"0,822","0,4393709324","1,261370932","0,178","0,178"
823,"0,823","0,4389315614","1,261931561","0,177","0,823"
824,"0,824","0,4384926299","1,26249263","0,176","0,176"
825,"0,825","0,4380541373","1,263054137","0,175","0,825"
826,"0,826","0,4376160831","1,263616083","0,174","0,174"
827,"0,827","0,437178467","1,264178467","0,173","0,827"
828,"0,828","0,4367412886","1,264741289","0,172","0,172"
829,"0,829","0,4363045473","1,265304547","0,171","0,829"
830,"0,83","0,4358682427","1,265868243","0,17","0,17"
831,"0,831","0,4354323745","1,266432374","0,169","0,831"
832,"0,832","0,4349969421","1,266996942","0,168","0,168"
833,"0,833","0,4345619452","1,267561945","0,167","0,833"
834,"0,834","0,4341273832","1,268127383","0,166","0,166"
835,"0,835","0,4336932558","1,268693256","0,165","0,835"
836,"0,836","0,4332595626","1,269259563","0,164","0,164"
837,"0,837","0,432826303","1,269826303","0,163","0,837"
838,"0,838","0,4323934767","1,270393477","0,162","0,162"
839,"0,839","0,4319610832","1,270961083","0,161","0,839"
840,"0,84","0,4315291222","1,271529122","0,16","0,16"
841,"0,841","0,431097593","1,272097593","0,159","0,841"
842,"0,842","0,4306664954","1,272666495","0,158","0,158"
843,"0,843","0,430235829","1,273235829","0,157","0,843"
844,"0,844","0,4298055931","1,273805593","0,156","0,156"
845,"0,845","0,4293757875","1,274375788","0,155","0,845"
846,"0,846","0,4289464117","1,274946412","0,154","0,154"
847,"0,847","0,4285174653","1,275517465","0,153","0,847"
848,"0,848","0,4280889479","1,276088948","0,152","0,152"
849,"0,849","0,4276608589","1,276660859","0,151","0,849"
850,"0,85","0,4272331981","1,277233198","0,15","0,15"
851,"0,851","0,4268059649","1,277805965","0,149","0,851"
852,"0,852","0,4263791589","1,278379159","0,148","0,148"
853,"0,853","0,4259527797","1,27895278","0,147","0,853"
854,"0,854","0,425526827","1,279526827","0,146","0,146"
855,"0,855","0,4251013001","1,2801013","0,145","0,855"
856,"0,856","0,4246761988","1,280676199","0,144","0,144"
857,"0,857","0,4242515226","1,281251523","0,143","0,857"
858,"0,858","0,4238272711","1,281827271","0,142","0,142"
859,"0,859","0,4234034438","1,282403444","0,141","0,859"
860,"0,86","0,4229800404","1,28298004","0,14","0,14"
861,"0,861","0,4225570604","1,28355706","0,139","0,861"
862,"0,862","0,4221345033","1,284134503","0,138","0,138"
863,"0,863","0,4217123688","1,284712369","0,137","0,863"
864,"0,864","0,4212906564","1,285290656","0,136","0,136"
865,"0,865","0,4208693658","1,285869366","0,135","0,865"
866,"0,866","0,4204484964","1,286448496","0,134","0,134"
867,"0,867","0,4200280479","1,287028048","0,133","0,867"
868,"0,868","0,4196080199","1,28760802","0,132","0,132"
869,"0,869","0,4191884118","1,288188412","0,131","0,869"
870,"0,87","0,4187692234","1,288769223","0,13","0,13"
871,"0,871","0,4183504542","1,289350454","0,129","0,871"
872,"0,872","0,4179321037","1,289932104","0,128","0,128"
873,"0,873","0,4175141716","1,290514172","0,127","0,873"
874,"0,874","0,4170966575","1,291096657","0,126","0,126"
875,"0,875","0,4166795608","1,291679561","0,125","0,875"
876,"0,876","0,4162628813","1,292262881","0,124","0,124"
877,"0,877","0,4158466184","1,292846618","0,123","0,877"
878,"0,878","0,4154307718","1,293430772","0,122","0,122"
879,"0,879","0,415015341","1,294015341","0,121","0,879"
880,"0,88","0,4146003256","1,294600326","0,12","0,12"
881,"0,881","0,4141857253","1,295185725","0,119","0,881"
882,"0,882","0,4137715396","1,29577154","0,118","0,118"
883,"0,883","0,413357768","1,296357768","0,117","0,883"
884,"0,884","0,4129444103","1,29694441","0,116","0,116"
885,"0,885","0,4125314659","1,297531466","0,115","0,885"
886,"0,886","0,4121189344","1,298118934","0,114","0,114"
887,"0,887","0,4117068155","1,298706815","0,113","0,887"
888,"0,888","0,4112951087","1,299295109","0,112","0,112"
889,"0,889","0,4108838135","1,299883814","0,111","0,889"
890,"0,89","0,4104729297","1,30047293","0,11","0,11"
891,"0,891","0,4100624568","1,301062457","0,109","0,891"
892,"0,892","0,4096523943","1,301652394","0,108","0,108"
893,"0,893","0,409242742","1,302242742","0,107","0,893"
894,"0,894","0,4088334992","1,302833499","0,106","0,106"
895,"0,895","0,4084246657","1,303424666","0,105","0,895"
896,"0,896","0,408016241","1,304016241","0,104","0,104"
897,"0,897","0,4076082248","1,304608225","0,103","0,897"
898,"0,898","0,4072006166","1,305200617","0,102","0,102"
899,"0,899","0,406793416","1,305793416","0,101","0,899"
900,"0,9","0,4063866225","1,306386623","0,1","0,1"
901,"0,901","0,4059802359","1,306980236","0,099","0,901"
902,"0,902","0,4055742557","1,307574256","0,098","0,098"
903,"0,903","0,4051686814","1,308168681","0,097","0,903"
904,"0,904","0,4047635127","1,308763513","0,096","0,096"
905,"0,905","0,4043587492","1,309358749","0,095","0,905"
906,"0,906","0,4039543905","1,30995439","0,094","0,094"
907,"0,907","0,4035504361","1,310550436","0,093","0,907"
908,"0,908","0,4031468857","1,311146886","0,092","0,092"
909,"0,909","0,4027437388","1,311743739","0,091","0,909"
910,"0,91","0,402340995","1,312340995","0,09","0,09"
911,"0,911","0,401938654","1,312938654","0,089","0,911"
912,"0,912","0,4015367154","1,313536715","0,088","0,088"
913,"0,913","0,4011351787","1,314135179","0,087","0,913"
914,"0,914","0,4007340435","1,314734043","0,086","0,086"
915,"0,915","0,4003333094","1,315333309","0,085","0,915"
916,"0,916","0,3999329761","1,315932976","0,084","0,084"
917,"0,917","0,3995330432","1,316533043","0,083","0,917"
918,"0,918","0,3991335101","1,31713351","0,082","0,082"
919,"0,919","0,3987343766","1,317734377","0,081","0,919"
920,"0,92","0,3983356422","1,318335642","0,08","0,08"
921,"0,921","0,3979373066","1,318937307","0,079","0,921"
922,"0,922","0,3975393693","1,319539369","0,078","0,078"
923,"0,923","0,3971418299","1,32014183","0,077","0,923"
924,"0,924","0,3967446881","1,320744688","0,076","0,076"
925,"0,925","0,3963479434","1,321347943","0,075","0,925"
926,"0,926","0,3959515955","1,321951595","0,074","0,074"
927,"0,927","0,3955556439","1,322555644","0,073","0,927"
928,"0,928","0,3951600882","1,323160088","0,072","0,072"
929,"0,929","0,3947649281","1,323764928","0,071","0,929"
930,"0,93","0,3943701632","1,324370163","0,07","0,07"
931,"0,931","0,393975793","1,324975793","0,069","0,931"
932,"0,932","0,3935818172","1,325581817","0,068","0,068"
933,"0,933","0,3931882354","1,326188235","0,067","0,933"
934,"0,934","0,3927950472","1,326795047","0,066","0,066"
935,"0,935","0,3924022521","1,327402252","0,065","0,935"
936,"0,936","0,3920098499","1,32800985","0,064","0,064"
937,"0,937","0,39161784","1,32861784","0,063","0,937"
938,"0,938","0,3912262222","1,329226222","0,062","0,062"
939,"0,939","0,390834996","1,329834996","0,061","0,939"
940,"0,94","0,390444161","1,330444161","0,06","0,06"
941,"0,941","0,3900537168","1,331053717","0,059","0,941"
942,"0,942","0,3896636631","1,331663663","0,058","0,058"
943,"0,943","0,3892739994","1,332273999","0,057","0,943"
944,"0,944","0,3888847254","1,332884725","0,056","0,056"
945,"0,945","0,3884958407","1,333495841","0,055","0,945"
946,"0,946","0,3881073449","1,334107345","0,054","0,054"
947,"0,947","0,3877192375","1,334719238","0,053","0,947"
948,"0,948","0,3873315183","1,335331518","0,052","0,052"
949,"0,949","0,3869441868","1,335944187","0,051","0,949"
950,"0,95","0,3865572426","1,336557243","0,05","0,05"
951,"0,951","0,3861706853","1,337170685","0,049","0,951"
952,"0,952","0,3857845147","1,337784515","0,048","0,048"
953,"0,953","0,3853987301","1,33839873","0,047","0,953"
954,"0,954","0,3850133314","1,339013331","0,046","0,046"
955,"0,955","0,3846283181","1,339628318","0,045","0,955"
956,"0,956","0,3842436898","1,34024369","0,044","0,044"
957,"0,957","0,3838594461","1,340859446","0,043","0,957"
